Instance,Tmax,BKS_reward,OBS_D_reward,OBS_D_S_E_reward,Reliability,OBS_S_E_reward
p4.2.a.txt,25.0,206,206,133.8,0.42,164.4
p4.2.b.txt,30.0,341,341,232.2,0.31,198.3
p4.2.c.txt,35.0,452,452,251.9,0.29,377.5
p4.2.d.txt,40.0,531,531,325.3,0.38,476.7
p4.2.e.txt,45.0,618,618,391.5,0.39,539.6
p4.2.f.txt,50.0,687,687,379.9,0.30,601.5
p4.2.g.txt,55.0,757,756,47.8,0.41,653.0
p4.2.h.txt,60.0,835,827,441.5,0.29,726.0
p4.2.i.txt,65.0,918,918,500.2,0.30,744.2
p4.2.j.txt,70.0,965,962,632.6,0.43,790.6
p4.2.k.txt,75.0,1022,1020,560.4,0.31,849.1
p4.2.l.txt,80.0,1074,1068,590.5,0.31,894.4
p4.2.m.txt,85.0,1132,1124,572.2,0.29,927.0
p4.2.n.txt,90.0,1174,1166,587.6,0.25,1027.2
p4.2.o.txt,95.0,1218,1211,700.9,0.34,1098.5
p4.2.p.txt,100.0,1242,1225,739.1,0.36,1126.0
p4.2.q.txt,105.0,1268,1262,699.1,0.31,1135.1
p4.2.r.txt,110.0,1292,1281,705.4,0.30,1098.8
p4.2.s.txt,115.0,1304,1302,853.2,0.42,1119.1
p4.2.t.txt,120.0,1306,1306,914.8,0.49,1096.8
p4.3.b.txt,20.0,38,38,24.5,0.38,21.3
p4.3.c.txt,23.3,193,193,144.5,0.35,177.0
p4.3.d.txt,26.7,335,335,188.0,0.17,298.5
p4.3.e.txt,30.0,468,468,301.0,0.25,416.7
p4.3.f.txt,33.3,579,579,326.2,0.18,491.9
p4.3.g.txt,36.7,653,651,441.3,0.31,544.8
p4.3.h.txt,40.0,729,723,422.8,0.19,643.1
