Instance,Tmax,BKS_reward,OBS_D_reward,OBS_D_S_E_reward,Reliability,OBS_S_E_reward,constructive_determistic_dreward,constructive_stochastic_dreward,constructive_deterministic_sreward,constructive_stochastic_sreward,savings_determistic_dreward,savings_stochastic_dreward,savings_deterministic_sreward,savings_stochastic_sreward,local_determistic_dreward,local_stochastic_dreward,local_deterministic_sreward,local_stochastic_sreward
p4.2.a.txt,25.0,206,206,133.8,0.42,164.4,184,170,121.81103999999999,142.19072,196,156,106.34056000000001,120.6944,196,154,106.19920000000002,130.18444
p4.2.b.txt,30.0,341,341,232.2,0.31,198.3,258,248,158.28936000000002,193.07362,263,244,145.5873,183.29428000000001,297,276,169.75962,205.15512
p4.2.c.txt,35.0,452,452,251.9,0.29,377.5,306,278,206.98146,263.62212,331,307,218.80502,266.26534,418,347,223.06468,264.89498000000003
p4.2.d.txt,40.0,531,531,325.3,0.38,476.7,349,314,252.03772,286.52664000000004,393,369,231.24994,296.50816,471,342,248.78412000000003,319.63352
p4.2.e.txt,45.0,618,618,391.5,0.39,539.6,399,348,208.76628000000002,338.76822,446,378,350.22628,373.24954,548,514,288.74344,373.03966
p4.2.f.txt,50.0,687,687,379.9,0.3,601.5,434,375,313.77076,370.02546,502,492,391.22512,488.26284,575,494,351.39594,490.60906
p4.2.g.txt,55.0,757,756,47.8,0.41,653.0,468,424,244.04752000000002,400.73392,533,518,324.32529999999997,466.19532,650,518,349.568,466.18428
p4.2.h.txt,60.0,835,827,441.5,0.29,726.0,529,437,296.19934,434.21684000000005,582,534,318.71028,527.54386,704,533,400.39456,523.81826
p4.2.i.txt,65.0,918,918,500.2,0.3,744.2,537,479,281.64738,464.52995999999996,603,525,377.5844,501.55022,755,628,427.75248,534.6464
p4.2.j.txt,70.0,965,962,632.6,0.43,790.6,569,534,380.82189999999997,521.24554,644,587,356.82201999999995,553.51328,794,730,489.25448,620.62872
p4.2.k.txt,75.0,1022,1020,560.4,0.31,849.1,650,554,525.28856,548.73788,713,713,458.78784,704.6985999999999,833,774,533.7160799999999,696.7716
p4.2.l.txt,80.0,1074,1068,590.5,0.31,894.4,694,658,377.17328,624.87544,713,711,674.2316000000001,710.9121,910,806,507.65335999999996,761.40352
p4.2.m.txt,85.0,1132,1124,572.2,0.29,927.0,743,683,498.74756,678.6209,773,739,568.50464,720.98762,972,911,543.00092,855.30098
p4.2.n.txt,90.0,1174,1166,587.6,0.25,1027.2,755,748,628.18772,723.17004,847,774,583.95722,763.49726,1021,914,649.4428399999999,913.4593600000001
p4.2.o.txt,95.0,1218,1211,700.9,0.34,1098.5,773,755,431.57903999999996,748.52866,841,820,673.98362,816.5759,1071,971,574.88364,941.6097199999999
p4.2.p.txt,100.0,1242,1225,739.1,0.36,1126.0,783,749,612.28802,741.79436,827,820,666.8302,802.1808000000001,1124,959,631.1936,942.57968
p4.2.q.txt,105.0,1268,1262,699.1,0.31,1135.1,874,770,655.23982,768.1360199999999,865,865,710.24398,713.16968,1122,903,594.32476,902.9611199999999
p4.2.r.txt,110.0,1292,1281,705.4,0.3,1098.8,911,860,635.2303400000001,787.8582200000001,910,815,699.37168,742.315,1168,1017,722.36784,945.2998399999999
p4.2.s.txt,115.0,1304,1302,853.2,0.42,1119.1,923,854,561.4969,846.02688,923,829,607.9585,773.6226800000001,1144,1061,654.9041599999999,880.25788
p4.2.t.txt,120.0,1306,1306,914.8,0.49,1096.8,950,886,693.67632,868.0168799999999,946,923,563.99576,915.40746,1255,1234,934.7641,1180.3174399999998
p4.3.b.txt,20.0,38,38,24.5,0.38,21.3,38,38,20.110280000000003,20.048520000000003,38,38,20.189159999999998,20.13138,38,38,20.1511,20.18002
p4.3.c.txt,23.3,193,193,144.5,0.35,177.0,187,153,119.44149999999999,141.73268000000002,177,153,113.10072,142.57724,193,192,114.72122,135.60196000000002
p4.3.d.txt,26.7,335,335,188.0,0.17,298.5,268,247,203.78334,221.89164,278,278,182.0823,182.77412,311,277,191.18614000000002,208.58783999999997
p4.3.e.txt,30.0,468,468,301.0,0.25,416.7,334,329,237.58056,267.8255,380,363,214.45724,249.06018,434,366,228.62843999999996,279.7328
p4.3.f.txt,33.3,579,579,326.2,0.18,491.9,405,354,247.79052000000001,305.92712,434,374,296.86202000000003,342.94464,523,466,277.7898,364.40306000000004
p4.3.g.txt,36.7,653,651,441.3,0.31,544.8,436,383,319.32038,336.74546,462,447,307.51242,385.19010000000003,569,453,349.16006,395.14338000000004
p4.3.h.txt,40.0,729,723,422.8,0.19,643.1,476,416,342.48411999999996,397.73472,528,528,405.73906,406.31978000000004,650,618,357.7381,472.64204
