Instance,Tmax,BKS_reward,OBS_D_reward,OBS_D_S_E_reward,Reliability,OBS_S_E_reward,constructive_determistic_dreward,constructive_stochastic_dreward,constructive_deterministic_sreward,constructive_stochastic_sreward,savings_determistic_dreward,savings_stochastic_dreward,savings_deterministic_sreward,savings_stochastic_sreward,local_determistic_dreward,local_stochastic_dreward,local_deterministic_sreward,local_stochastic_sreward
p4.2.a.txt,25.0,206,206,133.8,0.42,164.4,178,174,124.71987999999999,137.28596,196,185,106.49853999999999,127.61905999999999,206,154,117.96177999999999,130.01144
p4.2.b.txt,30.0,341,341,232.2,0.31,198.3,258,242,139.54404,208.86777999999998,263,236,145.52027999999999,183.81995999999998,296,255,154.84696000000002,189.5538
p4.2.c.txt,35.0,452,452,251.9,0.29,377.5,314,278,218.4152,263.91222,331,307,218.09102000000001,266.23508,430,374,229.20288,274.09828000000005
p4.2.d.txt,40.0,531,531,325.3,0.38,476.7,361,319,209.98219999999998,275.1718,395,348,315.1295,322.18,497,453,262.68652,331.20208
p4.2.e.txt,45.0,618,618,391.5,0.39,539.6,399,327,206.59890000000001,310.88814,457,400,328.12478,375.8328,554,425,328.82668,390.3727
p4.2.f.txt,50.0,687,687,379.9,0.3,601.5,443,391,330.01516,369.23717999999997,512,492,386.35296000000005,488.33892000000003,577,492,399.85114,488.20308
p4.2.g.txt,55.0,757,756,47.8,0.41,653.0,476,403,332.90352,402.18046,535,518,331.4702,467.17967999999996,655,505,353.42618000000004,474.84632
p4.2.h.txt,60.0,835,827,441.5,0.29,726.0,509,437,413.02882,424.56000000000006,582,534,317.83758,527.4049,718,653,436.00708,510.94238
p4.2.i.txt,65.0,918,918,500.2,0.3,744.2,545,510,354.2640200000001,482.05920000000003,625,516,369.60368,513.20968,783,667,422.35200000000003,525.5057
p4.2.j.txt,70.0,965,962,632.6,0.43,790.6,603,529,324.90942,499.39041999999995,664,619,472.79096000000004,566.0877399999999,863,753,444.44272,584.41022
p4.2.k.txt,75.0,1022,1020,560.4,0.31,849.1,659,581,527.13864,542.76854,731,713,543.28514,685.73766,893,775,511.05984,689.659
p4.2.l.txt,80.0,1074,1068,590.5,0.31,894.4,722,637,547.6442,615.96298,731,713,498.99404000000004,710.067,948,816,540.5119199999999,783.23736
p4.2.m.txt,85.0,1132,1124,572.2,0.29,927.0,743,733,500.49148,642.6135999999999,777,721,461.54934000000003,720.6089999999999,1033,892,590.0159799999999,860.812
p4.2.n.txt,90.0,1174,1166,587.6,0.25,1027.2,760,751,555.5289,730.2399,847,789,473.33374000000003,779.05808,1069,926,621.825,877.74184
p4.2.o.txt,95.0,1218,1211,700.9,0.34,1098.5,765,765,758.4872399999999,758.2623000000001,846,820,736.77246,816.30534,1086,933,689.877,911.07744
p4.2.p.txt,100.0,1242,1225,739.1,0.36,1126.0,801,749,606.9254,742.29992,842,791,717.9652,789.09244,1119,1095,812.983,1014.0414800000001
p4.2.q.txt,105.0,1268,1262,699.1,0.31,1135.1,892,785,703.2586200000001,779.6029000000001,853,833,692.52154,832.70822,1165,1164,882.63032,888.29952
p4.2.r.txt,110.0,1292,1281,705.4,0.3,1098.8,913,817,519.214,801.88246,871,843,598.1479400000001,841.3966800000001,1212,1014,687.7750000000001,951.49346
p4.2.s.txt,115.0,1304,1302,853.2,0.42,1119.1,977,843,513.92738,794.15624,849,788,455.58114,664.27068,1190,1108,658.38136,933.6024600000001
p4.2.t.txt,120.0,1306,1306,914.8,0.49,1096.8,958,879,513.5059200000001,855.12234,915,915,915.0,914.98156,1255,1187,917.79434,1159.49992
p4.3.b.txt,20.0,38,38,24.5,0.38,21.3,38,38,20.00432,20.13852,38,38,20.31482,20.128260000000004,38,38,20.15254,20.23432
p4.3.c.txt,23.3,193,193,144.5,0.35,177.0,187,153,114.24184,142.44642,169,169,116.28130000000002,116.16922000000001,193,177,114.95786000000001,137.6559
p4.3.d.txt,26.7,335,335,188.0,0.17,298.5,272,263,168.81626,221.37599999999998,278,277,181.82584,208.17399999999998,330,278,188.44242,208.84992
p4.3.e.txt,30.0,468,468,301.0,0.25,416.7,348,329,212.73281999999998,268.74073999999996,380,359,215.0109,247.54636000000002,434,352,228.96936,279.41272
p4.3.f.txt,33.3,579,579,326.2,0.18,491.9,411,345,228.41222,290.54462,435,410,266.81741999999997,332.82314,532,418,308.15516,348.32116
p4.3.g.txt,36.7,653,651,441.3,0.31,544.8,436,399,318.4414,360.08056,469,453,349.64008,370.80926000000005,578,442,366.54598,425.79251999999997
p4.3.h.txt,40.0,729,723,422.8,0.19,643.1,486,442,356.92956000000004,393.99490000000003,528,528,405.32572000000005,405.6581,662,531,353.33208,488.92608
